,species,culmen_length_mm,culmen_depth_mm
0,1,39.1,18.7
1,1,39.5,17.4
2,1,40.3,18.0
3,1,43.92192982456142,17.151169590643278
4,1,36.7,19.3
5,1,39.3,20.6
6,1,38.9,17.8
7,1,39.2,19.6
8,1,34.1,18.1
9,1,42.0,20.2
10,1,37.8,17.1
11,1,37.8,17.3
12,1,41.1,17.6
13,1,38.6,21.2
14,1,34.6,21.1
15,1,36.6,17.8
16,1,38.7,19.0
17,1,42.5,20.7
18,1,34.4,18.4
19,1,46.0,21.5
20,1,37.8,18.3
21,1,37.7,18.7
22,1,35.9,19.2
23,1,38.2,18.1
24,1,38.8,17.2
25,1,35.3,18.9
26,1,40.6,18.6
27,1,40.5,17.9
28,1,37.9,18.6
29,1,40.5,18.9
30,1,39.5,16.7
31,1,37.2,18.1
32,1,39.5,17.8
33,1,40.9,18.9
34,1,36.4,17.0
35,1,39.2,21.1
36,1,38.8,20.0
37,1,42.2,18.5
38,1,37.6,19.3
39,1,39.8,19.1
40,1,36.5,18.0
41,1,40.8,18.4
42,1,36.0,18.5
43,1,44.1,19.7
44,1,37.0,16.9
45,1,39.6,18.8
46,1,41.1,19.0
47,1,37.5,18.9
48,1,36.0,17.9
49,1,42.3,21.2
50,1,39.6,17.7
51,1,40.1,18.9
52,1,35.0,17.9
53,1,42.0,19.5
54,1,34.5,18.1
55,1,41.4,18.6
56,1,39.0,17.5
57,1,40.6,18.8
58,1,36.5,16.6
59,1,37.6,19.1
60,1,35.7,16.9
61,1,41.3,21.1
62,1,37.6,17.0
63,1,41.1,18.2
64,1,36.4,17.1
65,1,41.6,18.0
66,1,35.5,16.2
67,1,41.1,19.1
68,1,35.9,16.6
69,1,41.8,19.4
70,1,33.5,19.0
71,1,39.7,18.4
72,1,39.6,17.2
73,1,45.8,18.9
74,1,35.5,17.5
75,1,42.8,18.5
76,1,40.9,16.8
77,1,37.2,19.4
78,1,36.2,16.1
79,1,42.1,19.1
80,1,34.6,17.2
81,1,42.9,17.6
82,1,36.7,18.8
83,1,35.1,19.4
84,1,37.3,17.8
85,1,41.3,20.3
86,1,36.3,19.5
87,1,36.9,18.6
88,1,38.3,19.2
89,1,38.9,18.8
90,1,35.7,18.0
91,1,41.1,18.1
92,1,34.0,17.1
93,1,39.6,18.1
94,1,36.2,17.3
95,1,40.8,18.9
96,1,38.1,18.6
97,1,40.3,18.5
98,1,33.1,16.1
99,1,43.2,18.5
100,1,35.0,17.9
101,1,41.0,20.0
102,1,37.7,16.0
103,1,37.8,20.0
104,1,37.9,18.6
105,1,39.7,18.9
106,1,38.6,17.2
107,1,38.2,20.0
